AMBulatório;Ambulatório sigla;Endereço;Médico;Especialidade;Dia da Semana;Período;Entrada;Saída;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;GEORGE KALIL FERREIRA ;VASCULAR ;Quarta;Manhã;07:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;LYZETTE CRISTINA FRANCO E FRANCO ;PEDIATRA ;Quarta;Manhã;07:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;MARINA DE LIMA LUZ VIEIRA ;MEDICA CLINICA ;Segunda;Manhã;08:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;MARINA DE LIMA LUZ VIEIRA ;MEDICA CLINICA ;Quarta;Tarde;13:00;17:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;SILVIA PONTES STARZYNSK DARAKJIAN ;NEURO PED ;Segunda;Manhã;08:00;11:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;SILVIA PONTES STARZYNSK DARAKJIAN ;NEURO PED ;Terça;Manhã;09:00;12:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;SILVIA PONTES STARZYNSK DARAKJIAN ;NEURO PED ;Quarta;Manhã;10:00;11:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;SILVIA PONTES STARZYNSK DARAKJIAN ;NEURO PED ;Quinta ;Manhã;11:00;11:30;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;SILVIA PONTES STARZYNSK DARAKJIAN ;NEURO PED ;Sexta;Manhã;12:00;10:00;
CENTRO MUNICIPAL DE REABILITAÇÃO-SOLANGE LANA DE AVILA ;CMR;VIA CONSELHEIRO ANTONIO PRADO, 1365, Pedro Cavalini, Barretos, SP ;SILVIA PONTES STARZYNSK DARAKJIAN ;NEURO PED ;Terça;Tarde;14:00;17:30;
